Order ID,Invoice,Ref,,Status,Tax date,Delivery due,Drop-ship,Contact,Amount,Paid,Actions
PO#369873,,Next samples box 3 21 April,No stock items received,PO Emailed To Supplier,22 Jun 2015,24 Jun 2015,No,Next ,"R5,863.23",R0.00,
,,,,,,,,,,,
PO#369685,,Jean1 August2015/3,No stock items received,PO Emailed To Supplier,22 Jun 2015,20 Jul 2015,No,Revenge ,"R69,084.00",R0.00,
,,,,,,,,,,,
PO#369684,,Jean1 August2015/2,No stock items received,PO Emailed To Supplier,22 Jun 2015,27 Jul 2015,No,Amanda Laird Cherry Amanda Laird Cherry Cc,"R17,414.99",R0.00,
,,,,,,,,,,,
PO#369683,,Jean1 August2015/1,No stock items received,PO Emailed To Supplier,22 Jun 2015,27 Jul 2015,No,Michelle Ludek ,"R17,862.20",R0.00,
,,,,,,,,,,,
PO#369682,,,No stock items received,Sent to Dynaman,22 Jun 2015,22 Jun 2015,No,Pop Candy Twin Clothing,"R2,462.40",R0.00,
,,,,,,,,,,,
PO#369681,,,No stock items received,PO Emailed To Supplier,22 Jun 2015,22 Jun 2015,No,Pret-A-Pot ,R672.60,R0.00,
,,,,,,,,,,,
PO#369581,,Ice Age August2015/1,No stock items received,PO Emailed To Supplier,22 Jun 2015,23 Jun 2015,No,Ice Age ,"R115,865.04",R0.00,
,,,,,,,,,,,
PO#368531,,100248168(Sample),No stock items received,Dynaman - PO Created,19 Jun 2015,22 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#368530,,100248248(Samples),No stock items received,Dynaman - PO Created,19 Jun 2015,22 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#368380,,Zendesk#126375,No stock items received,Dynaman - PO Created,19 Jun 2015,20 Jun 2015,No,London Hub ,"R4,560.00",R0.00,
,,,,,,,,,,,
PO#368071,,100120913(Samples),No stock items received,Dynaman - PO Created,18 Jun 2015,24 Jun 2015,No,Spree QC QC Team,"R10,659.69",R0.00,
,,,,,,,,,,,
PO#368070,,100244512(Samples),No stock items received,Dynaman - PO Created,18 Jun 2015,21 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#368069,,MF replen INVESTMENT,No stock items received,PO Emailed To Supplier,18 Jun 2015,21 Jun 2015,No,Marianne Fassler ,"R5,579.98",R0.00,
,,,,,,,,,,,
PO#368068,,Liezel July2015/8,No stock items received,Draft PO,18 Jun 2015,24 Jun 2015,No,STYLE REPUBLIC-GNP WEAR ,"R31,806.00",R0.00,
,,,,,,,,,,,
PO#368067,,Liezel July2015/7,No stock items received,Draft PO,18 Jun 2015,24 Jun 2015,No,edit-GNP wear ,"R13,315.20",R0.00,
,,,,,,,,,,,
PO#368066,,Liezel July2015/6,No stock items received,Draft PO,18 Jun 2015,22 Jun 2015,No,Style Republic-CHAPATTI ,"R13,338.00",R0.00,
,,,,,,,,,,,
PO#368065,,Liezel July2015/5,No stock items received,Draft PO,18 Jun 2015,21 Jun 2015,No,EDIT-CHAPATTI ,"R33,174.00",R0.00,
,,,,,,,,,,,
PO#368064,,Liezel July2015/4,No stock items received,Draft PO,18 Jun 2015,20 Jun 2015,No,edit-Kate Jordan ,"R70,851.00",R0.00,
,,,,,,,,,,,
