GLDay;GLMonth;GLYear;ConfigSKU;SKU;ConfigName;Supplier;Designer;Category;Buyer;Date QCed;01_WHSamples_OUT;02_SampleRoom_IN;03_SampleRoom_TO_studio;04_SampleRoom_FROM_studio;05_SampleRoom_OUT;06_WHSamples_IN
13.0;5.0;2015.0;T2E8MLD;T2E8MLD0034;Double front dress with long sleeves;Gavin Rajah;Gavin Rajah;Dresses;Megan;2015-05-08 11:29:00;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;7995AV5;7995AV50034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;NZUJJ1L;NZUJJ1LOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;NT3QUT5;NT3QUT50001;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;NLU61D1;NLU61D10007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;7I6Y2F1;7I6Y2F1OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;7JA78UQ;7JA78UQ0ALL;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;;;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;7TZ4WAI;7TZ4WAI0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;82X2L28;82X2L2800NA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-11 00:00:00;;
;;;8477ZNM;8477ZNM0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;852AHVD;852AHVDOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;85GY52K;85GY52K0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;875BN1A;875BN1AOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-10 00:00:00
;;;88B32Q7;88B32Q70010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;8F22N9Y;8F22N9Y0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;MOWR3VU;MOWR3VUOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-10 00:00:00
;;;8F3W87J;8F3W87J0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;Z73VUQ2;Z73VUQ20010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
8.0;7.0;2015.0;74T7MIT;74T7MIT000M;Oswaldo Tee;AN Fashions;Pride & Soul;Casual Wear;Craig;2015-02-19 13:35:00;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;;2015-03-27 00:00:00
17.0;6.0;2015.0;8LVVY98;8LVVY98000M;Oswaldo Tee;AN Fashions;Pride & Soul;Casual Wear;Craig;2015-05-25 13:56:00;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;MAIJ947;MAIJ947000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;M66TS94;M66TS94000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;8U5142P;8U5142P0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;8UR4G3H;8UR4G3H0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;O3A76U5;O3A76U50007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;8YJEX16;8YJEX16OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-10 00:00:00
;;;O516331;O516331OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;;
;;;757P51Q;757P51Q036M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;55AVZ49;55AVZ49OSFA;;;;;;;2015-02-23 00:00:00;;;;;
;;;55EC3W1;55EC3W10034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;Q978G8C;Q978G8C000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;5654C89;5654C890034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;569463G;569463GOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-11 00:00:00;2015-03-11 00:00:00;
;;;5757EV6;5757EV6OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00;2015-03-10 00:00:00
;;;57TA9PX;57TA9PX0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;5951RS4;5951RS4000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;Q31FG43;Q31FG43000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;5D5FO5S;5D5FO5S0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;5F7WO8V;5F7WO8V000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;5RCWV44;5RCWV44OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00;;2015-03-10 00:00:00
;;;5SC2188;5SC21880007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;646568Q;646568Q0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;HU15OJE;HU15OJE000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;68353H3;68353H30007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;6AYX95O;6AYX95O0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;P32H827;P32H827000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;713V51R;713V51R0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;72PP994;72PP9940034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;73538FB;73538FB0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;7552BT7;7552BT7000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;Z52WJ5N;Z52WJ5N000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;75XFSTT;75XFSTT0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;M3P5PW8;M3P5PW80007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;96U7UA3;96U7UA3000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;97589FH;97589FH000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;C1Z787R;C1Z787R0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;JC5623A;JC5623A000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;JB3E8ID;JB3E8ID004Y;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;DMN1122;DMN1122OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-10 00:00:00
;;;J7T15P4;J7T15P4OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;;2015-03-30 00:00:00
;;;DO436E4;DO436E40034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;J5QMXZW;J5QMXZW0ALL;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;;;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;DTPI41F;DTPI41F0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;E3EF883;E3EF8830034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;E5W23K6;E5W23K60034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;J18B2TE;J18B2TE0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;EA1J571;EA1J5710034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;EDO522A;EDO522A0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;EJ1MAWQ;EJ1MAWQ0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;EV7GFN4;EV7GFN4000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;EXA1T61;EXA1T61000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-10 00:00:00
;;;G12947Z;G12947Z000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;GFD6V3L;GFD6V3L000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;GW21EPF;GW21EPF0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;H7Z3JZA;H7Z3JZA0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;H91JYGO;H91JYGO0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;I482B5Y;I482B5Y0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;HTO4B2Q;HTO4B2Q000M;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;BV232A7;BV232A70001;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;BLLO717;BLLO71700NA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-11 00:00:00;2015-03-11 00:00:00;
;;;BAH7KV2;BAH7KV2OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;K2HOKME;K2HOKME0007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00
;;;97J71VE;97J71VEOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00;2015-03-10 00:00:00
;;;LR2245W;LR2245WOSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;;2015-03-10 00:00:00
;;;LQI4J53;LQI4J530010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;;
;;;LMGD1GC;LMGD1GC0010;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;LH72E45;LH72E450001;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00;2015-03-09 00:00:00
;;;9BT3429;9BT34290034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;9C6EKKN;9C6EKKN0034;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
;;;L9DSZ5O;L9DSZ5O0034;;;;;;;2015-02-23 00:00:00;;;;;
;;;9FOAB83;9FOAB83OSFA;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-03-09 00:00:00
;;;9L813OB;9L813OB004Y;;;;;;;2015-02-23 00:00:00;;;;;
;;;L798244;L7982440007;;;;;;;2015-02-23 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-02-26 00:00:00;2015-03-10 00:00:00
